text,label
"Congratulations! You have been selected for the position. Pay ₹3000 registration fee to confirm your offer.",1
"Pay training fee of ₹5000 immediately to secure your job at Amazon.",1
"Urgent: Limited slots available. Pay ₹2000 now to confirm your joining.",1
"You are selected! Send ₹1500 as security deposit to HR within 24 hours.",1
"Pay ₹4000 as onboarding charges to activate your offer letter.",1
"Your job is confirmed. Transfer ₹6000 to this account to receive your appointment letter.",1
"Congratulations on your selection. Pay ₹2500 registration fee to proceed.",1
"Send ₹3500 as training deposit to confirm your position at our company.",1
"Pay ₹1000 processing fee to get your offer letter released immediately.",1
"You have been hired! Pay ₹8000 as equipment deposit before joining.",1
"We found your profile on Naukri. You are selected. Pay ₹2000 to confirm.",1
"Job confirmed at MNC. Pay ₹5000 as refundable security deposit now.",1
"Your application is approved. Pay ₹1200 admin fee to complete the process.",1
"Immediate joining available. Pay ₹3000 to block your seat.",1
"You are shortlisted for a high-paying job. Pay ₹4500 to get the offer letter.",1
"Work from home job confirmed. Pay ₹2000 for laptop and kit delivery.",1
"You are selected for data entry job. Pay ₹1500 for ID card and materials.",1
"Earn ₹50000/month from home. Pay ₹3000 registration to start immediately.",1
"Part-time job offer confirmed. Pay ₹999 to activate your account.",1
"You are hired as a remote consultant. Pay ₹2500 for system access credentials.",1
"Send your Aadhaar and PAN card to confirm your job offer at TCS.",1
"We need your bank account details to process your joining bonus.",1
"Share your personal details and passport copy to complete the hiring process.",1
"Your offer letter is ready. Share your OTP to verify your identity and receive it.",1
"Congratulations! You are selected. Click this link to confirm: http://amaz0n-jobs.tk/confirm",1
"Your job offer from Google is ready. Verify at http://google-hiring-india.xyz",1
"You are selected for Microsoft. Complete verification at http://ms-jobs-india.net/verify",1
"Claim your job offer from Infosys at http://infosys-recruitment2024.com/offer",1
"Amazon is hiring you. Confirm your slot at http://amazon-jobs-apply.ml",1
"You are selected for a government job. Apply now at http://sarkari-naukri-official.tk",1
"Congratulations from HR team. No interview needed, you are directly selected.",1
"You are hired based on your LinkedIn profile. No interview required. Join Monday.",1
"Direct selection without interview. Salary ₹80000/month. Confirm now.",1
"You are pre-selected for this role. No rounds needed. Just pay and join.",1
"Our company is hiring 500 people urgently. No experience needed. Salary ₹60000.",1
"Work from home, earn ₹5000 daily, no skills required, immediate joining.",1
"Guaranteed job placement in 3 days. Contact us on WhatsApp immediately.",1
"You are selected for a confidential government project. Do not tell anyone.",1
"This is a secret job offer. Reply only on this personal number, not official channels.",1
"Your resume was selected from a database. Confirm your interest within 2 hours or lose the offer.",1
"Urgent: Your job offer expires in 24 hours. Confirm immediately or it will be cancelled.",1
"Last chance to accept this offer. Reply NOW or we move to the next candidate.",1
"You must confirm within 1 hour. This offer is only for you, do not share.",1
"Act fast! Only 2 seats left for this high-paying remote job. Register now.",1
"Final warning: Your selected profile will be removed if you do not respond today.",1
"You are selected for a job at Amazon. Salary ₹1.5 lakh/month, no experience needed.",1
"Earn ₹2 lakh per month working 2 hours a day from home. Immediate joining.",1
"Freshers selected for senior manager role. CTC ₹25 LPA. No experience required.",1
"You are hired as CEO assistant. Salary ₹3 lakh/month. No interview needed.",1
"International job offer in Dubai. No fees, no interview, direct visa processing.",1
"We are offering you a job at Google. Salary $10000/month. No rounds required.",1
"Your application for the Software Engineer position has been received. We will contact you within 5 business days.",0
"Thank you for applying. Our HR team will review your resume and get back to you.",0
"We would like to schedule a technical interview for the role you applied for.",0
"Please find the interview details attached. The interview will be conducted on Zoom.",0
"Congratulations on clearing round 1. We would like to invite you for round 2.",0
"Your interview is scheduled for Monday at 11 AM with our engineering team.",0
"We are pleased to extend an offer for the position of Software Developer. Please review the attached offer letter.",0
"Your offer letter has been sent to your registered email. No payment is required.",0
"Welcome to the team! Please complete your onboarding formalities on the HR portal.",0
"Your background verification has been initiated. Please check your email for further steps.",0
"We regret to inform you that your application was not shortlisted at this time.",0
"Thank you for attending the interview. We will get back to you within a week.",0
"Your resume has been shortlisted for the next round. Please confirm your availability.",0
"The hiring manager would like to connect with you for a brief discussion.",0
"Please complete the online assessment link sent to your registered email.",0
"We are conducting a walk-in drive this Saturday. Please bring your resume and ID proof.",0
"Your application is under review. You will receive an update within 3 working days.",0
"We would like to discuss the role and compensation details in our next call.",0
"Please log in to our careers portal to check the status of your application.",0
"Your technical round has been cleared. HR will reach out for the next steps.",0
"We are happy to inform you that your profile matches our current opening.",0
"Kindly share your updated resume and we will forward it to the hiring team.",0
"The interview panel has reviewed your profile and would like to proceed.",0
"Please attend the virtual interview at the scheduled time. Link has been shared.",0
"Your joining date has been confirmed as the 1st of next month. Please complete the documentation.",0
"We are a startup hiring for multiple roles. Apply through our official website.",0
"Our recruiter will call you to discuss the job description and your expectations.",0
"Please fill out the pre-employment form on our HR portal before your joining date.",0
"The offer is contingent on successful background verification and document submission.",0
"We do not charge any fee at any stage of our recruitment process.",0
"All communication from our company will be through official company email IDs only.",0
"Your salary negotiation request has been forwarded to the hiring manager.",0
"Please note that our interview process includes 3 rounds: technical, managerial, and HR.",0
"We will reimburse your travel expenses for the in-person interview.",0
"Your probation period will be 6 months as per company policy.",0
"The job description and CTC breakup have been shared in the offer letter.",0
"Please submit your educational certificates and experience letters on your first day.",0
"Our HR team will guide you through the onboarding process step by step.",0
"You have been selected after a rigorous 4-round interview process. Welcome aboard.",0
"We are an equal opportunity employer. All hiring decisions are based on merit.",0
"Please do not share your offer letter details publicly until you have officially joined.",0
"Your reference check is in progress. We will update you once it is complete.",0
"The position requires 2 years of experience. Please confirm if you meet the criteria.",0
"We are looking for candidates with strong communication and problem-solving skills.",0
"Your application for the data analyst role has been moved to the next stage.",0
"Please complete the skills assessment before your scheduled interview.",0
"Our talent acquisition team will reach out to you for a preliminary screening call.",0
"The role is based out of Bangalore with an option for hybrid work.",0
"We have received your documents. The offer letter will be issued within 2 working days.",0
"Congratulations on your selection. Your first day will include an orientation session.",0
"Please note that all job offers are made only through official company letterheads.",0
